Control ID,Publicly Disclosed Control,Public Evidence,Evidence IDs,"If Performing an Internal Review, Evidence to Request",NIST CSF 2.0
C-01,Dedicated information-security teams,"Technology risk, cybersecurity operations, cybersecurity engineering, and identity/access management teams are publicly disclosed.",E-12,"Request org charts, role descriptions, staffing/coverage model, responsibility matrix, and metrics.",PR.AA; PR.PS; DE.CM
C-02,Penetration and vulnerability testing,The company publicly states that it performs penetration and vulnerability testing.,E-13,"Review scope, frequency, methodology, reports, severity criteria, remediation SLAs, and retest evidence.",ID.RA; PR.PS
C-03,Data-recovery testing,The company publicly states that it performs data-recovery testing.,E-13,"Review test schedule, backup scope, RTO/RPO objectives, restore success evidence, exceptions, and remediation.",PR.IR; RC.RP
C-04,Security audits and ongoing risk assessments,Security audits and ongoing risk assessments are publicly disclosed.,E-13,"Review audit universe, assessment methodology, findings, ownership, due dates, and closure evidence.",GV.OV; ID.RA; ID.IM
C-05,Third-party due diligence and audits,Due diligence on and audits of key technology vendors and suppliers are publicly disclosed.,E-13,"Review vendor tiering, questionnaires, reports, contracts, unresolved issues, and reassessment cadence.",GV.SC
C-06,Security awareness and phishing simulations,Regular employee cyber/security training and phishing simulations are publicly disclosed.,E-13,"Review completion rates, simulation metrics, repeat-failure handling, role-based training, and improvement trends.",PR.AT
C-07,External advisors and third-party incident monitoring/response,Outside advisors and a third party for cyber incident monitoring and response are publicly disclosed.,E-14,"Review contracts/SOWs, escalation paths, coverage, response SLAs, exercise participation, and incident handoffs.",DE.CM; RS.MA
C-08,CISO and senior-leadership accountability,The CISO and senior leadership are publicly described as responsible for assessing and managing cybersecurity risks.,E-14,"Review reporting cadence, risk acceptance authority, decision logs, metrics, and escalation thresholds.",GV.RR; GV.RM
C-09,Enterprise Risk Management Committee integration,Cybersecurity and compliance are publicly described as regularly discussed by the executive ERM Committee and reported to the Board/Audit Committee.,E-14,"Review committee charter, agenda/minutes, cyber risk reporting, risk appetite/tolerance linkage, and follow-up actions.",GV.RM; GV.OV
C-10,Audit Committee cyber oversight and incident escalation,The Audit Committee oversees cyber risk; the company discloses scheduled/as-needed updates and escalation protocols.,E-15,"Review committee charter, reporting packages, escalation criteria, incident notification timelines, and evidence of oversight actions.",GV.RR; GV.OV; RS.CO
