Evidence ID,Date,Source ID,Evidence Type,Fact,Analytical Relevance
E-01,2024-01-08,S-01,Observed incident fact,loanDepot reported unauthorized third-party access to certain company systems and encryption of data.,Direct evidence of confidentiality and availability risk.
E-02,2024-01-08,S-01,Observed incident fact,loanDepot reported shutting down certain systems while securing operations and bringing systems back online.,Direct evidence of operational disruption and recovery requirements.
E-03,2024-01-22,S-02,Observed incident fact,"loanDepot reported progress restoring loan-origination and loan-servicing systems, including customer portals.",Shows that customer-facing and core mortgage operations were affected enough to require restoration.
E-04,2024-02-23,S-03,Regulatory notification fact,"The consumer notice stated that potentially impacted data included name, address, email address, financial account numbers, Social Security number, phone number, and date of birth.",Supports a severe confidentiality/identity-theft impact assessment.
E-05,2024-02-23,S-03,Regulatory notification fact,"The notice described unauthorized access occurring between January 3 and January 5, 2024, and said the incident was identified on or about January 4.",Supports the incident timeline without inferring an undisclosed root cause.
E-06,2024-02-23,S-04,Regulatory breach record,"The Maine breach record reported 16,924,071 persons affected, including 73,870 Maine residents.",Provides scale for impact scoring.
E-07,2024-02-27,S-05,Observed incident / financial fact,loanDepot stated the incident had been contained and that up to approximately 16.9 million individuals would be notified.,Confirms containment and updated scale.
E-08,2024-02-27,S-05,Financial / legal fact,"loanDepot expected a material impact on first-quarter 2024 results, initially estimating approximately $12–$17 million of incident expenses net of expected insurance recovery, and disclosed related lawsuits.",Supports financial and legal-impact risk themes.
E-09,2025-03-12,S-06,Financial follow-up,loanDepot reported $24.6 million of 2024 cybersecurity-incident expenses net of insurance recoveries of $35.0 million.,Provides realized financial impact and illustrates the role of insurance in loss treatment.
E-10,2026-03-12,S-07,Financial / regulatory follow-up,"loanDepot reported $1.8 million of incident-related expenses during fiscal 2025, continued regulatory engagement, and possible additional future costs.",Shows multi-year impact and continuing legal/regulatory exposure.
E-11,2026-03-12,S-07,Company risk disclosure,"loanDepot stated that the January 2024 incident may make it more of a target for future attacks and described potential future operational, legal, regulatory, financial, and reputational consequences from cyber incidents.",Supports recurrence and future-impact risk analysis.
E-12,2026-03-12,S-07,Publicly disclosed control environment,"loanDepot disclosed dedicated information-security teams covering technology risk, cyber operations, cyber engineering, and identity/access management.",Documents an existing control environment rather than assuming controls are absent.
E-13,2026-03-12,S-07,Publicly disclosed control environment,"loanDepot disclosed penetration/vulnerability testing, data-recovery testing, security audits, ongoing risk assessments, vendor due diligence/audits, and employee phishing/security training and simulations.","Provides evidence of existing preventive, testing, recovery, vendor, and awareness controls."
E-14,2026-03-12,S-07,Governance fact,loanDepot disclosed use of outside advisors and a third party for cyber incident monitoring/response; cybersecurity is managed by the CISO and senior leadership and discussed through the Enterprise Risk Management Committee.,Supports assessment of incident-response and governance structures.
E-15,2026-03-12,S-07,Governance fact,The Audit Committee oversees cybersecurity risk and receives scheduled/as-needed updates; the company disclosed escalation protocols for certain incidents.,Supports governance and escalation analysis.
